(0.0 0.6579736267392905)
(0.1001001001001001 0.6566726663224518)
(0.2002002002002002 0.6527749296489749)
(0.3003003003003003 0.6462958301060269)
(0.4004004004004004 0.6372609889395044)
(0.5005005005005005 0.6257061339362142)
(0.6006006006006006 0.6116769581402859)
(0.7007007007007008 0.5952289391625227)
(0.8008008008008008 0.5764271197972124)
(0.9009009009009009 0.5553458508139448)
(1.001001001001001 0.5320684969415458)
(1.1011011011011012 0.5066871072068034)
(1.2012012012012012 0.4793020509316094)
(1.3013013013013013 0.4500216208279483)
(1.4014014014014016 0.4189616047602718)
(1.5015015015015016 0.38624482786870207)
(1.6016016016016017 0.35200066686371106)
(1.7017017017017018 0.3163645384129736)
(1.8018018018018018 0.27947736364353654)
(1.9019019019019021 0.24148501087690677)
(2.002002002002002 0.2025377188007259)
(2.1021021021021022 0.1627895023580703)
(2.2022022022022023 0.12239754370375741)
(2.3023023023023024 0.08152157063608256)
(2.4024024024024024 0.040323224961950566)
(2.5025025025025025 -0.0010345767068382402)
(2.6026026026026026 -0.04238828719844568)
(2.702702702702703 -0.08357437551937143)
(2.802802802802803 -0.1244299735288492)
(2.902902902902903 -0.16479351999203176)
(3.0030030030030033 -0.20450539946508392)
(3.1031031031031033 -0.24340857348575407)
(3.2032032032032034 -0.28134920157341037)
(3.3033033033033035 -0.31817724958283417)
(3.4034034034034035 -0.3537470830060683)
(3.5035035035035036 -0.38791804287613657)
(3.6036036036036037 -0.42055500199526197)
(3.7037037037037037 -0.4515288992880014)
(3.8038038038038042 -0.4807172501662337)
(3.9039039039039043 -0.508004630887783)
(4.004004004004004 -0.5332831349933169)
(4.104104104104104 -0.5564528000165547)
(4.2042042042042045 -0.5774220027803914)
(4.3043043043043046 -0.5961078217157553)
(4.404404404404405 -0.612436364770433)
(4.504504504504505 -0.62634306161116)
(4.604604604604605 -0.6377729189634846)
(4.704704704704705 -0.646680738079672)
(4.804804804804805 -0.6530312934746889)
(4.904904904904905 -0.6567994722234632)
(5.005005005005005 -0.6579703732685773)
(5.105105105105105 -0.6565393663456865)
(5.205205205205205 -0.6525121102936478)
(5.305305305305305 -0.6459045306769496)
(5.405405405405406 -0.6367427568089356)
(5.505505505505506 -0.6250630184248592)
(5.605605605605606 -0.6109115024133717)
(5.705705705705706 -0.5943441701729878)
(5.805805805805806 -0.5754265363157878)
(5.9059059059059065 -0.5542334095934548)
(6.0060060060060065 -0.5308485970701458)
(6.106106106106107 -0.5053645727120248)
(6.206206206206207 -0.47788211170400624)
(6.306306306306307 -0.4485098919397801)
(6.406406406406407 -0.4173640642610057)
(6.506506506506507 -0.3845677931451436)
(6.606606606606607 -0.3502507696582413)
(6.706706706706707 -0.314548698598685)
(6.806806806806807 -0.2776027618599744)
(6.906906906906907 -0.23955906013461942)
(7.007007007007007 -0.2005680351669184)
(7.107107107107107 -0.16078387483928466)
(7.207207207207207 -0.12036390344466738)
(7.307307307307307 -0.07946795955621778)
(7.407407407407407 -0.0382577639543616)
(7.507507507507508 0.0031037198892079343)
(7.6076076076076085 0.04445293024169295)
(7.7077077077077085 0.08562635390514693)
(7.807807807807809 0.12646117282050223)
(7.907907907907909 0.16679590792270654)
(8.008008008008009 0.20647105770088)
(8.108108108108109 0.24532972893834773)
(8.208208208208209 0.28321825713830684)
(8.308308308308309 0.31998681418170466)
(8.408408408408409 0.3554900008143657)
(8.508508508508509 0.389587421620413)
(8.608608608608609 0.4221442402082891)
(8.70870870870871 0.45303171241391293)
(8.80880880880881 0.48212769541245704)
(8.90890890890891 0.509317130725491)
