
wing_chord = 1.0 (m)
stroke_time = 0.96 (m)
pitch_acc_time_fraction = 0.5
Re, stroke_dist, acc_time_fraction, pitch_time_fraction, pitch_angle, acc_t (s), steady_t (s), pitch_t (s), nu (m^2/s), acc (m/s^2), pitch_acc (deg/s^2), steady_velocity (m/s), acc_dist (chords), steady_dist (chords), pitch_dist (chords), c_U (s)
100.0, 3.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.04166666666666667, 17.361111111111114, 0.0, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
100.0, 3.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.04166666666666667, 17.361111111111114, 4166.666666666667, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
100.0, 3.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.04166666666666667, 17.361111111111114, 8333.333333333334, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
100.0, 5.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.06944444444444445, 28.935185185185187, 0.0, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
100.0, 5.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.06944444444444445, 28.935185185185187, 4166.666666666667, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
100.0, 5.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.06944444444444445, 28.935185185185187, 8333.333333333334, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
100.0, 7.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.09722222222222224, 40.50925925925927, 0.0, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
100.0, 7.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.09722222222222224, 40.50925925925927, 4166.666666666667, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
100.0, 7.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.09722222222222224, 40.50925925925927, 8333.333333333334, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
100.0, 9.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.125, 52.083333333333336, 0.0, 12.5, 1.5, 6.0, 1.5, 0.08
100.0, 9.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.125, 52.083333333333336, 4166.666666666667, 12.5, 1.5, 6.0, 1.5, 0.08
100.0, 9.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.125, 52.083333333333336, 8333.333333333334, 12.5, 1.5, 6.0, 1.5, 0.08
1000.0, 3.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.004166666666666667, 17.361111111111114, 0.0, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
1000.0, 3.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.004166666666666667, 17.361111111111114, 4166.666666666667, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
1000.0, 3.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.004166666666666667, 17.361111111111114, 8333.333333333334, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
1000.0, 5.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.006944444444444445, 28.935185185185187, 0.0, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
1000.0, 5.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.006944444444444445, 28.935185185185187, 4166.666666666667, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
1000.0, 5.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.006944444444444445, 28.935185185185187, 8333.333333333334, 6.944444444444445, 0.8333333333333334, 3.3333333333333335, 0.8333333333333334, 0.144
1000.0, 7.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.009722222222222222, 40.50925925925927, 0.0, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
1000.0, 7.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.009722222222222222, 40.50925925925927, 4166.666666666667, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
1000.0, 7.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.009722222222222222, 40.50925925925927, 8333.333333333334, 9.722222222222223, 1.1666666666666667, 4.666666666666667, 1.1666666666666667, 0.10285714285714284
1000.0, 9.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.0125, 52.083333333333336, 0.0, 12.5, 1.5, 6.0, 1.5, 0.08
1000.0, 9.0, 0.5, 0.25, 45.0, 0.24, 0.48, 0.24, 0.0125, 52.083333333333336, 4166.666666666667, 12.5, 1.5, 6.0, 1.5, 0.08
1000.0, 9.0, 0.5, 0.25, 90.0, 0.24, 0.48, 0.24, 0.0125, 52.083333333333336, 8333.333333333334, 12.5, 1.5, 6.0, 1.5, 0.08
10000.0, 3.0, 0.5, 0.25, 0.0, 0.24, 0.48, 0.24, 0.0004166666666666667, 17.361111111111114, 0.0, 4.166666666666667, 0.5, 2.0, 0.5000000000000001, 0.24
